pair,entry_time,exit_time,direction,gross_pnl,trading_fee,funding_cost,net_pnl
xyz_lighter,2026-01-10 17:00:00,2026-01-10 20:00:00,Short,542.8495903250398,12.3,-1.4167049999999999,531.9662953250398
xyz_lighter,2026-01-16 22:00:00,2026-01-17 00:00:00,Long,584.8468582298611,12.3,3.675,568.8718582298612
xyz_lighter,2026-01-17 01:00:00,2026-01-17 03:00:00,Long,505.51753180835595,12.3,3.675,489.54253180835593
xyz_lighter,2026-01-21 22:00:00,2026-01-22 05:00:00,Long,344.75827304312867,12.3,12.8625,319.59577304312864
xyz_lighter,2026-01-24 11:00:00,2026-01-24 16:00:00,Short,548.4106581306894,12.3,-9.1875,545.2981581306894
xyz_lighter,2026-01-24 17:00:00,2026-01-24 22:00:00,Long,667.5394480084047,12.3,9.1875,646.0519480084048
xyz_lighter,2026-01-25 08:00:00,2026-01-26 01:00:00,Short,1510.0480420329675,12.3,-31.23749999999999,1528.9855420329675
xyz_lighter,2026-01-27 22:00:00,2026-01-27 23:00:00,Short,587.2917562991881,12.3,-1.8375,576.8292562991882
xyz_binance,2026-01-10 06:00:00,2026-01-10 07:00:00,Long,658.5801266696532,87.3,-10.63077,581.9108966696532
xyz_binance,2026-01-23 23:00:00,2026-01-24 00:00:00,Long,445.53499056153015,87.3,1.8375,356.39749056153016
xyz_binance,2026-01-24 10:00:00,2026-01-24 17:00:00,Short,519.3325323433985,87.3,-12.8625,444.8950323433985
xyz_binance,2026-01-25 02:00:00,2026-01-26 01:00:00,Short,601.6323225227347,87.3,-42.26249999999998,556.5948225227347
lighter_binance,2026-01-10 05:00:00,2026-01-10 09:00:00,Long,521.8856013769683,75.0,0.0,446.88560137696834
lighter_binance,2026-01-10 16:00:00,2026-01-10 19:00:00,Long,601.9884585641954,75.0,0.0,526.9884585641954
lighter_binance,2026-01-16 22:00:00,2026-01-17 00:00:00,Short,539.7781305249143,75.0,0.0,464.77813052491433
lighter_binance,2026-01-23 23:00:00,2026-01-24 01:00:00,Long,402.9936219835302,75.0,0.0,327.9936219835302
lighter_binance,2026-01-24 06:00:00,2026-01-24 07:00:00,Short,297.27988497666587,75.0,0.0,222.27988497666587
lighter_binance,2026-01-24 17:00:00,2026-01-25 00:00:00,Short,491.9682883037961,75.0,0.0,416.9682883037961
lighter_binance,2026-01-25 01:00:00,2026-01-25 11:00:00,Short,352.3168072801574,75.0,0.0,277.3168072801574
lighter_binance,2026-01-25 16:00:00,2026-01-26 00:00:00,Long,377.44633527359383,75.0,0.0,302.44633527359383
lighter_binance,2026-01-26 17:00:00,2026-01-27 02:00:00,Long,289.8162634592891,75.0,0.0,214.81626345928908
lighter_binance,2026-01-27 22:00:00,2026-01-27 23:00:00,Long,486.7837013037005,75.0,0.0,411.7837013037005
