date,cme_close,cme_usd_per_lb,shfe_close,cme_usd_per_ton,shfe_usd_per_ton,spread,spread_ratio
2016-01-29,206.1,2.061,35680,4543.72182,4921.379310344828,-377.65749034482815,-7.673813915358756
2016-02-01,206.05,2.0605,35540,4542.61951,4902.068965517241,-359.4494555172405,-7.332607069499139
2016-02-02,204.6,2.046,35760,4510.65252,4932.413793103448,-421.76127310344873,-8.550808808724842
2016-02-03,209.95,2.0995,35810,4628.59969,4939.310344827586,-310.71065482758604,-6.290567571907285
2016-02-04,212.1,2.121,36500,4675.99902,5034.482758620689,-358.4837386206891,-7.120567410958893
2016-02-05,208.95,2.0894999999999997,36510,4606.553489999999,5035.862068965517,-429.3085789655179,-8.525026561216118
2016-02-15,205.8,2.0580000000000003,35750,4537.10796,4931.0344827586205,-393.9265227586202,-7.988719692307683
2016-02-16,204.85,2.0484999999999998,35750,4516.164069999999,4931.0344827586205,-414.87041275862157,-8.413455923076942
2016-02-17,207.3,2.073,35480,4570.1772599999995,4893.793103448276,-323.6158434482768,-6.612781468432938
2016-02-18,207.1,2.0709999999999997,35700,4565.7680199999995,4924.137931034483,-358.36991103448327,-7.2778203221288615
2016-02-19,208.0,2.08,35920,4585.6096,4954.482758620689,-368.87315862068954,-7.445240534521156
2016-02-22,211.6,2.116,36350,4664.97592,5013.793103448276,-348.8171834482764,-6.957151526822569
2016-02-23,210.0,2.1,36200,4629.702,4993.103448275862,-363.4014482758621,-7.278067679558012
2016-02-24,211.8,2.1180000000000003,35810,4669.385160000001,4939.310344827586,-269.9251848275853,-5.464835492879066
2016-02-25,207.85,2.0785,35920,4582.30267,4954.482758620689,-372.1800886206893,-7.511986755289525
2016-02-26,211.45,2.1145,35840,4661.66899,4943.448275862069,-281.7792858620687,-5.700055308314727
2016-02-29,212.4,2.124,35880,4682.61288,4948.9655172413795,-266.35263724137985,-5.381986120401348
2016-03-01,214.3,2.1430000000000002,36010,4724.500660000001,4966.896551724138,-242.39589172413707,-4.880228311580099
2016-03-02,218.8,2.188,36940,4823.70856,5095.172413793103,-271.4638537931032,-5.327863941526796
2016-03-03,221.0,2.21,37000,4872.2101999999995,5103.448275862069,-231.2380758620693,-4.531016351351358
2016-03-04,226.0,2.26,37950,4982.441199999999,5234.482758620689,-252.04155862069,-4.815023188405805
2016-03-07,227.4,2.274,38090,5013.30588,5253.793103448276,-240.48722344827638,-4.577401864006311
2016-03-08,221.45,2.2144999999999997,37750,4882.130989999999,5206.896551724138,-324.76556172413893,-6.237219397351012
2016-03-09,223.4,2.234,37320,4925.12108,5147.586206896552,-222.46512689655174,-4.321736789924974
2016-03-10,222.5,2.225,37300,4905.2795,5144.827586206897,-239.5480862068971,-4.6560955093833885
2016-03-11,223.6,2.2359999999999998,37710,4929.530319999999,5201.379310344828,-271.84899034482896,-5.226478865022567
2016-03-14,223.95,2.2395,37750,4937.2464899999995,5206.896551724138,-269.65006172413814,-5.178709794701991
2016-03-15,223.65,2.2365,37250,4930.632629999999,5137.931034482759,-207.2984044827599,-4.034666932885931
2016-03-16,225.4,2.254,37570,4969.213479999999,5182.068965517241,-212.8554855172415,-4.107538647857336
2016-03-17,228.85,2.2885,37940,5045.27287,5233.103448275862,-187.83057827586254,-3.5892769965735463
2016-03-18,228.6,2.286,38380,5039.76132,5293.793103448276,-254.03178344827666,-4.798672303282975
2016-03-21,228.7,2.287,38160,5041.965939999999,5263.448275862069,-221.4823358620697,-4.207932219601691
2016-03-22,229.15,2.2915,38150,5051.88673,5262.068965517241,-210.18223551724077,-3.9942888794233173
2016-03-23,223.85,2.2385,38160,4935.04187,5263.448275862069,-328.4064058620688,-6.239377469863729
2016-03-24,223.8,2.238,37630,4933.93956,5190.3448275862065,-256.4052675862067,-4.940043024182829
2016-03-25,223.8,2.238,37750,4933.93956,5206.896551724138,-272.9569917241379,-5.2422203708609265
2016-03-28,224.35,2.2435,37510,4946.064969999999,5173.793103448276,-227.72813344827682,-4.401570161290341
2016-03-29,221.25,2.2125,37590,4877.72175,5184.827586206897,-307.10583620689704,-5.9231639066241115
2016-03-30,218.75,2.1875,36990,4822.60625,5102.068965517241,-279.4627155172411,-5.477439003784802
2016-03-31,218.3,2.1830000000000003,36860,4812.685460000001,5084.137931034483,-271.4524710344822,-5.339203513293532
2016-04-01,216.9,2.169,37120,4781.82078,5120.0,-338.17922,-6.605062890624999
2016-04-05,214.3,2.1430000000000002,36720,4724.500660000001,5064.827586206897,-340.32692620689613,-6.71941779684095
2016-04-06,214.45,2.1445,36730,4727.807589999999,5066.206896551724,-338.3993065517243,-6.679539810781382
2016-04-07,207.9,2.079,36650,4583.40498,5055.172413793103,-471.767433793103,-9.33237079126875
2016-04-08,208.6,2.086,35760,4598.83732,4932.413793103448,-333.57647310344873,-6.762945833333342
2016-04-11,208.2,2.082,35830,4590.01884,4942.068965517241,-352.0501255172412,-7.123537287189503
2016-04-12,215.0,2.15,35980,4739.933,4962.758620689655,-222.8256206896549,-4.489954836020006
2016-04-13,217.15,2.1715,36830,4787.33233,5080.0,-292.6676699999998,-5.761174606299209
2016-04-14,216.8,2.168,36850,4779.6161600000005,5082.758620689655,-303.1424606896544,-5.964132537313418
2016-04-15,215.4,2.154,36780,4748.75148,5073.103448275862,-324.3519682758624,-6.393561092985324
2016-04-18,216.4,2.164,36610,4770.79768,5049.6551724137935,-278.8574924137938,-5.522307620868629
2016-04-19,222.55,2.2255000000000003,36940,4906.381810000001,5095.172413793103,-188.7906037931025,-3.7052839131023094
2016-04-20,223.5,2.235,37360,4927.325699999999,5153.103448275862,-225.7777482758629,-4.3813936697002305
2016-04-21,225.15,2.2515,38100,4963.70193,5255.172413793103,-291.4704837931031,-5.546354350393694
2016-04-22,226.5,2.265,37970,4993.4643,5237.241379310345,-243.77707931034547,-4.654684816960771
2016-04-25,225.2,2.252,38120,4964.8042399999995,5257.931034482759,-293.1267944827596,-5.574945592864656
2016-04-26,225.0,2.25,37710,4960.3949999999995,5201.379310344828,-240.98431034482837,-4.633084725537008
2016-04-27,222.5,2.225,37630,4905.2795,5190.3448275862065,-285.0653275862069,-5.492223292585703
2016-04-28,222.0,2.22,37280,4894.2564,5142.068965517241,-247.81256551724073,-4.819316255364795
2016-04-29,228.2,2.282,37660,5030.94284,5194.482758620689,-163.5399186206896,-3.1483388475836427
2016-05-03,221.75,2.2175,37910,4888.744849999999,5228.9655172413795,-340.2206672413804,-6.506462246109226
2016-05-04,218.3,2.1830000000000003,37230,4812.685460000001,5135.172413793103,-322.48695379310266,-6.279963510609708
2016-05-05,214.45,2.1445,36840,4727.807589999999,5081.379310344828,-353.57172034482846,-6.958183964440842
2016-05-06,215.2,2.1519999999999997,36620,4744.342239999999,5051.0344827586205,-306.69224275862143,-6.071869907154576
2016-05-09,210.25,2.1025,35840,4635.2135499999995,4943.448275862069,-308.23472586206935,-6.235216971261169
2016-05-10,209.65,2.0965000000000003,35950,4621.9858300000005,4958.620689655172,-336.63485965517157,-6.788881036161319
2016-05-11,209.8,2.0980000000000003,35960,4625.29276,4960.0,-334.70723999999973,-6.748129838709673
2016-05-12,207.5,2.075,36240,4574.5865,4998.620689655172,-424.03418965517176,-8.483023937637956
2016-05-13,207.8,2.0780000000000003,35480,4581.200360000001,4893.793103448276,-312.59274344827554,-6.387534921082293
2016-05-16,209.15,2.0915,35610,4610.962729999999,4911.724137931034,-300.76140793103514,-6.123336724234779
2016-05-17,209.0,2.09,35900,4607.6557999999995,4951.724137931034,-344.0683379310349,-6.9484552924791165
2016-05-18,206.45,2.0645,35380,4551.437989999999,4880.0,-328.56201000000056,-6.732828073770502
2016-05-19,206.55,2.0655,35200,4553.64261,4855.172413793103,-301.5298037931034,-6.210486015624999
2016-05-20,205.65,2.0565,35320,4533.8010300000005,4871.724137931034,-337.9231079310339,-6.9364171361834535
2016-05-23,205.4,2.0540000000000003,35170,4528.28948,4851.0344827586205,-322.7450027586201,-6.653117059994301
2016-05-24,206.65,2.0665,35190,4555.847229999999,4853.793103448276,-297.94587344827687,-6.138413135834064
2016-05-25,210.2,2.102,35490,4634.111239999999,4895.172413793103,-261.061173793104,-5.333033276979442
2016-05-26,209.95,2.0995,36060,4628.59969,4973.793103448276,-345.19341344827626,-6.940244724071
2016-05-27,211.1,2.1109999999999998,35840,4653.9528199999995,4943.448275862069,-289.4954558620693,-5.856144126674114
2016-05-30,209.65,2.0965000000000003,35710,4621.9858300000005,4925.517241379311,-303.53141137931016,-6.162427142257067
2016-05-31,208.45,2.0845,35750,4595.530389999999,4931.0344827586205,-335.5040927586215,-6.803929153846171
2016-06-01,207.3,2.073,35190,4570.1772599999995,4853.793103448276,-283.6158434482768,-5.843179497016216
2016-06-02,206.7,2.0669999999999997,35280,4556.94954,4866.206896551724,-309.2573565517241,-6.355203613945578
2016-06-03,212.0,2.12,35720,4673.7944,4926.896551724138,-253.1021517241379,-5.137151735722284
2016-06-06,211.7,2.117,36260,4667.180539999999,5001.379310344828,-334.1987703448285,-6.682132060121364
2016-06-07,205.25,2.0525,35840,4524.982550000001,4943.448275862069,-418.4657258620682,-8.465057233537932
2016-06-08,206.5,2.065,35230,4552.5403,4859.310344827586,-306.7700448275864,-6.313036687482263
2016-06-13,205.2,2.052,35250,4523.8802399999995,4862.068965517241,-338.18872551724144,-6.955654638297874
2016-06-14,204.3,2.043,35110,4504.03866,4842.758620689655,-338.7199606896547,-6.994359769296487
2016-06-15,209.05,2.0905,35320,4608.75811,4871.724137931034,-262.96602793103466,-5.397802102208384
2016-06-16,205.3,2.053,35410,4526.08486,4884.137931034483,-358.05307103448285,-7.330936924597574
2016-06-17,205.35,2.0535,35560,4527.18717,4904.827586206897,-377.6404162068966,-7.6993616915073115
2016-06-20,208.75,2.0875,35460,4602.144249999999,4891.0344827586205,-288.8902327586211,-5.90652619148337
2016-06-21,212.6,2.126,35570,4687.02212,4906.206896551724,-219.1847765517241,-4.467499662637053
2016-06-22,213.55,2.1355,36260,4707.96601,5001.379310344828,-293.4133003448278,-5.86664762134584
2016-06-23,216.3,2.1630000000000003,36270,4768.59306,5002.758620689655,-234.16556068965474,-4.680728742762605
2016-06-24,211.35,2.1135,35970,4659.46437,4961.379310344828,-301.9149403448282,-6.085302522935792
2016-06-27,212.75,2.1275,36720,4690.329049999999,5064.827586206897,-374.49853620689737,-7.3941023624727835
2016-06-28,217.6,2.176,37200,4797.25312,5131.0344827586205,-333.78136275862016,-6.505147526881711
2016-06-29,219.2,2.1919999999999997,37220,4832.527039999999,5133.793103448276,-301.26606344827724,-5.868293820526625
2016-06-30,220.05,2.2005,37530,4851.26631,5176.551724137931,-325.2854141379312,-6.283824280575542
2016-07-01,222.15,2.2215000000000003,37300,4897.56333,5144.827586206897,-247.2642562068968,-4.8060746849866
2016-07-04,222.05,2.2205,38410,4895.3587099999995,5297.931034482759,-402.57232448275954,-7.5986705350169395
2016-07-05,218.4,2.184,37790,4814.89008,5212.413793103448,-397.52371310344824,-7.626480338713945
2016-07-06,215.5,2.155,37380,4750.956099999999,5155.862068965517,-404.9059689655178,-7.853312667201723
2016-07-07,212.2,2.122,36910,4678.20364,5091.0344827586205,-412.83084275862075,-8.108977539962071
2016-07-08,212.4,2.124,36620,4682.61288,5051.0344827586205,-368.4216027586208,-7.2939831239759725
2016-07-11,214.7,2.147,37020,4733.31914,5106.206896551724,-372.8877565517241,-7.30263704754187
2016-07-12,221.45,2.2144999999999997,37180,4882.130989999999,5128.275862068966,-246.14487206896683,-4.799758801775174
2016-07-13,223.65,2.2365,38580,4930.632629999999,5321.379310344828,-390.74668034482875,-7.342958611975138
2016-07-14,224.05,2.2405,38640,4939.45111,5329.6551724137935,-390.2040624137935,-7.3213753946687445
2016-07-15,223.3,2.233,38500,4922.91646,5310.3448275862065,-387.42836758620615,-7.295728999999987
2016-07-18,224.5,2.245,37850,4949.3719,5220.689655172414,-271.31775517241385,-5.196971532364598
2016-07-19,225.75,2.2575,38300,4976.929649999999,5282.758620689655,-305.82897068965576,-5.789190698433432
2016-07-20,224.4,2.244,38280,4947.167280000001,5280.0,-332.8327199999994,-6.3036499999999895
2016-07-21,225.95,2.2595,38650,4981.33889,5331.0344827586205,-349.6955927586205,-6.559619786545921
2016-07-22,223.6,2.2359999999999998,38180,4929.530319999999,5266.206896551724,-336.6765765517248,-6.393151335777906
2016-07-25,222.75,2.2275,38160,4910.79105,5263.448275862069,-352.657225862069,-6.700117629716982
2016-07-26,222.3,2.2230000000000003,37810,4900.870260000001,5215.172413793103,-314.30215379310266,-6.0266876884421965
2016-07-27,219.15,2.1915,37740,4831.42473,5205.517241379311,-374.09251137931096,-7.186461864069964
2016-07-28,221.5,2.215,37820,4883.2333,5216.551724137931,-333.3184241379313,-6.389631345848762
2016-07-29,222.85,2.2285,37470,4912.995669999999,5168.275862068966,-255.28019206896624,-4.9393685414998805
2016-08-01,219.55,2.1955,38280,4840.24321,5280.0,-439.75679000000036,-8.328727083333339
